Quarter,Month,og,led,oper,amtinm,amtink
Q1-FY17,Sep'16,CMT,OG Led,Owned,4.24,424
Q1-FY17,Sep'16,FS,GDN Led,Support,3.7,370
Q1-FY17,Sep'16,FS,GDN Led,Support,5,500
Q1-FY17,Sep'16,CMT,GDN Led,Support,1,100
Q1-FY17,Sep'16,PRD,GDN Led,Support,5,500
Q1-FY17,Sep'16,CMT,OG Led,Support,3,300
Q1-FY17,Sep'16,FS,OG Led,Support,5,500
Q1-FY17,Sep'16,CMT,OG Led,Support,1.5,150
Q1-FY17,Sep'16,PRD,GDN Led,Owned,8,800
Q1-FY17,Sep'16,RES,OG Led,Support,2.4,240
Q1-FY17,Sep'16,FS,OG Led,Support,4,400
Q1-FY17,Sep'16,RES,OG Led,Support,2.8,280
Q1-FY17,Sep'16,PRD,GDN Led,Support,2,200
Q1-FY17,Sep'16,RES,GDN Led,Support,1.09,108.81
Q1-FY17,Sep'16,RES,GDN Led,Support,2,200
Q1-FY17,Sep'16,RES,OG Led,Support,1,100
Q1-FY17,Sep'16,PRD,GDN Led,Support,1,100
Q1-FY17,Sep'16,H&PS,GDN Led,Support,3,300
Q1-FY17,Sep'16,FS,GDN Led,Support,2.5,250
Q1-FY17,Sep'16,PRD,GDN Led,Owned,2.53,253
Q1-FY17,Sep'16,FS,GDN Led,Support,1,100
Q1-FY17,Sep'16,PRD,GDN Led,Support,4,400
Q1-FY17,Sep'16,RES,OG Led,Support,1,100
Q1-FY17,Sep'16,FS,OG Led,Support,2,200
Q1-FY17,Sep'16,RES,OG Led,Support,6,600
Q1-FY17,Sep'16,H&PS,GDN Led,Support,10,1000
Q1-FY17,Sep'16,FS,OG Led,Support,1.5,150
Q1-FY17,Sep'16,H&PS,GDN Led,Support,3,300
Q1-FY17,Sep'16,RES,GDN Led,Support,1.2,120
Q1-FY17,Sep'16,FS,GDN Led,Support,1.8,180
Q1-FY17,Sep'16,PRD,GDN Led,Support,6,600
Q1-FY17,Sep'16,RES,OG Led,Support,2,200
Q1-FY17,Sep'16,PRD,GDN Led,Owned,3,300
Q1-FY17,Sep'16,FS,GDN Led,Support,4,400
Q1-FY17,Sep'16,PRD,GDN Led,Support,6,600
Q1-FY17,Sep'16,RES,OG Led,Support,1,100
Q1-FY17,Sep'16,CMT,GDN Led,Support,2,200
Q1-FY17,Sep'16,FS,GDN Led,Owned,6.5,650
Q1-FY17,Sep'16,PRD,GDN Led,Support,3,300
